id_annonce,gray_mean,quartile_inf,quartile_sup
10767060,88.61354781952997,36.0,152.0
10888487,157.79718810601165,132.0,189.0
10914429,116.66124192059095,84.0,153.0
11308684,139.21557689591864,107.0,184.0
11549723,146.44685611993734,111.0,186.0
11958629,147.02601482970968,91.0,210.0
11965095,81.87589543797914,13.0,135.0
12090080,139.167905623788,84.0,189.0
12123019,105.07656002534051,41.0,149.0
12230262,139.72351006657576,95.0,175.0
12243776,175.11589267285862,143.0,218.0
12763085,151.38491330665846,130.0,179.0
13236641,127.67041598592435,77.0,180.0
13385951,178.2481684981685,157.0,206.0
13687635,148.84471003449104,88.0,205.0
13843279,156.58569996658872,146.75,194.0
14133737,193.97418977614433,183.0,217.0
14200281,148.38877717732814,135.0,183.0
14602309,122.98624127617148,94.0,139.0
14787963,117.65139318885448,85.0,149.0
14952615,123.54886401603743,72.0,191.0
14964029,97.49912027145909,23.0,147.0
14964225,117.03305265803695,76.0,147.0
14964477,159.10751539524946,131.0,194.0
14964943,101.94149805202966,84.0,106.0
14965103,122.3823677265301,73.0,174.0
14965115,77.83410833228604,46.0,101.0
15012687,93.21381160852987,43.0,127.0
15073565,120.35644682954386,62.0,160.0
15079067,125.22122581556278,47.0,202.0
15120195,125.45287168530854,110.0,151.0
15122759,143.4581024930748,98.0,191.0
15140945,140.79873067739098,116.0,165.0
15165335,118.8924586922751,90.0,129.0
15183049,140.22275983410833,90.0,191.0
15214959,123.52365485100974,91.0,143.0
15220905,108.00157094382305,83.0,126.0
15220933,116.97543043860752,83.0,152.0
15251091,132.13177076787733,80.0,179.0
15251295,114.85108035588193,91.0,139.0
15300815,144.46688450421013,99.0,203.0
15321629,225.59394244061832,218.0,253.0
15372633,161.38745758451677,133.0,200.0
15372691,108.94933333333333,71.0,100.0
15389469,171.31899543378995,132.0,214.0
15406881,130.16890269735913,99.0,178.0
15406925,141.39392987306775,129.0,165.0
15448729,145.0552343848184,122.0,181.0
15498393,135.01074525574967,87.0,175.0
15539001,114.004021616187,85.0,148.0
15592679,126.62950860877216,82.0,194.0
15728603,72.62341334673872,51.0,94.0
15780039,141.91290687445016,78.0,196.0
15843341,109.26770674580894,59.0,136.0
16090705,220.1420265780731,200.0,253.0
16234457,137.33404549453311,78.0,181.0
16465931,93.9356729275526,51.0,112.0
16607283,122.02775031775172,55.0,241.0
16881697,185.2463236603169,180.0,205.0
16956857,106.76511247957772,47.0,163.0
17016147,169.83589104504185,143.0,204.0
17205039,140.40285714285713,92.0,177.0
17499187,142.47111989831944,101.25,179.0
17670947,90.77093630843102,41.0,120.0
17706407,148.48296836982968,107.0,192.0
17822729,150.7769438353854,123.0,189.0
17910959,122.05992897306895,67.0,171.0
17970357,122.72776057791538,88.0,162.0
17970361,93.02850877192982,48.0,130.0
17970379,118.98844169246647,81.0,150.0
17970391,117.22678362573099,74.0,148.0
18184505,128.39803921568628,86.0,179.0
18221933,138.60824742268042,112.0,168.0
18277557,104.67532467532467,56.0,143.0
18595361,176.2246376811594,173.0,198.0
18794819,107.54491228070175,75.25,146.0
19142531,149.3082191780822,121.0,181.0
19187645,111.96685692541857,66.0,157.0
